Date,Open,High,Low,Close,Adj Close,Volume
2013-09-25,164960.0,167760.0,164080.0,166560.0,135131.328125,301
2013-09-26,164880.0,164960.0,161760.0,162720.0,132015.890625,279
2013-09-27,165360.0,166480.0,162720.0,163200.0,132405.328125,265
2013-09-30,168720.0,170080.0,163440.0,165200.0,134027.9375,339
2013-10-01,164880.0,164880.0,159440.0,159760.0,129614.453125,337
2013-10-02,162880.0,163360.0,159120.0,159760.0,129614.453125,321
2013-10-03,160560.0,167920.0,159360.0,165360.0,134157.75,484
2013-10-04,165520.0,165840.0,160480.0,161120.0,130717.8203125,280
2013-10-07,165360.0,165440.0,161440.0,165040.0,133898.125,370
2013-10-08,165200.0,174720.0,164880.0,174320.0,141427.109375,685
2013-10-09,173520.0,180480.0,173120.0,176320.0,143049.703125,769
2013-10-10,170640.0,170640.0,163920.0,165120.0,133963.078125,657
2013-10-11,166160.0,166320.0,160800.0,161280.0,130847.671875,395
2013-10-14,164240.0,164560.0,157680.0,157680.0,127926.9453125,362
2013-10-15,158000.0,160160.0,155920.0,159600.0,129484.640625,411
2013-10-16,157120.0,157760.0,153920.0,154080.0,125006.21875,455
2013-10-17,156160.0,156560.0,151360.0,151600.0,122994.1796875,292
2013-10-18,147280.0,148640.0,144000.0,144240.0,117022.9453125,363
2013-10-21,143200.0,144480.0,142080.0,143360.0,116309.015625,260
2013-10-22,141760.0,145200.0,140160.0,142640.0,115724.875,458
2013-10-23,144800.0,147200.0,143760.0,145120.0,117736.890625,289
2013-10-24,145040.0,145520.0,142240.0,143200.0,116179.1796875,233
2013-10-25,139280.0,142080.0,138160.0,140320.0,113842.6328125,254
2013-10-28,140000.0,141920.0,139440.0,140080.0,113647.9140625,229
2013-10-29,138880.0,141120.0,138240.0,139440.0,113128.6953125,207
2013-10-30,137760.0,141600.0,137200.0,139920.0,113518.078125,366
2013-10-31,140640.0,142160.0,138080.0,140560.0,114037.3515625,388
2013-11-01,139440.0,142640.0,138800.0,140640.0,114102.2578125,259
2013-11-04,139120.0,141520.0,139120.0,140000.0,113583.0078125,148
2013-11-05,141440.0,142800.0,138480.0,139360.0,113063.765625,260
2013-11-06,137760.0,140960.0,137520.0,139600.0,113258.515625,215
2013-11-07,139440.0,147760.0,138880.0,147440.0,119619.1328125,493
2013-11-08,145920.0,146960.0,141440.0,141520.0,114816.21875,392
2013-11-11,142320.0,143440.0,140880.0,142080.0,115270.5,176
2013-11-12,143280.0,143600.0,140800.0,141440.0,114751.296875,233
2013-11-13,144320.0,144320.0,136000.0,136000.0,110337.7890625,372
2013-11-14,137360.0,138160.0,134720.0,135280.0,109753.640625,282
2013-11-15,134720.0,136000.0,134240.0,134240.0,108909.8671875,205
2013-11-18,134400.0,138880.0,133600.0,138080.0,112025.3046875,243
2013-11-19,138240.0,140000.0,136400.0,139280.0,112998.8828125,406
2013-11-20,138240.0,141600.0,136720.0,140320.0,113842.6328125,324
2013-11-21,138800.0,138960.0,135680.0,136080.0,110402.6875,296
2013-11-22,135200.0,135680.0,133760.0,133840.0,108585.375,206
2013-11-25,132320.0,133920.0,132000.0,132960.0,107871.3984375,180
2013-11-26,132800.0,133600.0,129840.0,130880.0,106183.890625,252
2013-11-27,130000.0,130320.0,127920.0,128000.0,103847.3203125,235
2013-11-29,126640.0,126880.0,125200.0,126080.0,102289.6171875,145
